assistant_sentence;action;ponctuation
Je vais t'envoyer ces informations par mail.;Envoyer un mail;Aff
Je t'enverrai un e-mail avec les détails.;Envoyer un mail;Aff
Tu recevras ces infos par courrier électronique.;Envoyer un mail;Aff
Je vais t'envoyer un courriel avec les données.;Envoyer un mail;Aff
Je te fais suivre ça par e-mail.;Envoyer un mail;Aff
Je t'enverrai ces informations par courriel.;Envoyer un mail;Aff
Prépare-toi à recevoir un message électronique de ma part.;Envoyer un mail;Aff
Je t'adresse un mail avec les informations nécessaires.;Envoyer un mail;Aff
Je vais te transmettre les détails par e-mail.;Envoyer un mail;Aff
Tu auras ces infos par e-mail très bientôt.;Envoyer un mail;Aff
Je vais t'envoyer ces détails par message électronique.;Envoyer un mail;Aff
Je t'envoie les informations via e-mail.;Envoyer un mail;Aff
Tu recevras un courriel avec ces informations.;Envoyer un mail;Aff
Je vais t'envoyer les données par courrier électronique.;Envoyer un mail;Aff
Je te fais parvenir ces détails par e-mail.;Envoyer un mail;Aff
Je te transmettrai les informations par e-mail.;Envoyer un mail;Aff
Attends-toi à recevoir ces détails par mail.;Envoyer un mail;Aff
Je vais t'envoyer les infos par e-mail très bientôt.;Envoyer un mail;Aff
Je te ferai suivre ces données par courriel.;Envoyer un mail;Aff
Tu recevras un e-mail de ma part avec ces détails.;Envoyer un mail;Aff
Je t'envoie ça par e-mail dans un instant.;Envoyer un mail;Aff
Je vais t'envoyer un e-mail avec toutes les infos.;Envoyer un mail;Aff
Je t'enverrai un message électronique avec les informations.;Envoyer un mail;Aff
Tu trouveras ces informations dans ton e-mail bientôt.;Envoyer un mail;Aff
Je te transmets les détails par e-mail dès que possible.;Envoyer un mail;Aff
Je vais t'envoyer un mail avec ces données rapidement.;Envoyer un mail;Aff
Je te fais suivre un e-mail avec les détails.;Envoyer un mail;Aff
Tu recevras un courriel contenant les infos sous peu.;Envoyer un mail;Aff
Je vais te faire parvenir ces informations par e-mail.;Envoyer un mail;Aff
Je t'envoie un courriel avec les informations nécessaires.;Envoyer un mail;Aff
